id,season,name,position,age,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun
669084,2023,DL Hall,P,24,18,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,.---,.---,0,0,0,0,0,0,0,0,.---,-.--,0,-.--
665487,2019,Fernando Tatis,RF,20,84,72,49,61,13,6,22,110,30,1,106,5,.317,334,.379,.590,.969,6,16,.727,.273,4,1399,372,197,53,105,0,3,.410,1.47,0,15.18
665487,2020,Fernando Tatis,RF,21,59,59,43,50,11,2,17,61,27,1,62,5,.277,224,.366,.571,.937,3,11,.786,.214,6,988,257,128,45,76,0,1,.306,1.37,0,13.18
665487,2021,Fernando Tatis,RF,22,130,88,106,99,31,0,42,153,62,6,135,2,.282,478,.364,.611,.975,4,25,.862,.138,5,2141,546,292,97,151,0,4,.324,0.83,0,11.38
665487,2023,Fernando Tatis,RF,24,141,151,139,91,33,1,25,141,53,0,148,3,.257,575,.322,.449,.771,4,29,.879,.121,17,2335,635,258,78,237,1,3,.299,1.09,0,23.00
665487,2024,Fernando Tatis,RF,25,102,108,85,64,21,1,21,96,32,0,110,7,.276,398,.340,.492,.832,3,11,.786,.214,8,1551,438,196,49,150,0,1,.316,1.27,0,18.95
665487,2025,Fernando Tatis,RF,26,155,160,148,111,27,2,25,129,89,7,159,6,.268,594,.368,.446,.814,7,32,.821,.179,6,2636,691,265,71,168,0,2,.303,1.08,0,23.76
665487,2026,Fernando Tatis,RF,27,25,22,23,9,4,0,0,28,11,0,23,1,.250,92,.327,.293,.620,1,6,.857,.143,1,405,108,27,12,28,1,3,.343,0.96,0,-.--
607455,2017,Anthony Banda,P,23,8,2,1,0,0,0,0,3,0,0,0,0,.000,5,.000,.000,.000,0,0,.---,.---,0,19,6,0,0,0,1,0,.000,2.00,0,-.--
607455,2021,Anthony Banda,P,27,5,1,0,1,0,0,0,0,0,0,0,0,.000,1,.000,.000,.000,0,0,.---,.---,0,4,1,0,0,2,0,0,.000,1.00,0,-.--
607455,2021,Anthony Banda,P,27,25,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,.---,.---,0,0,0,0,0,0,0,0,.---,-.--,0,-.--
607455,2021,Anthony Banda,P,27,30,1,0,1,0,0,0,0,0,0,0,0,.000,1,.000,.000,.000,0,0,.---,.---,0,4,1,0,0,2,0,0,.000,1.00,0,-.--
