id,name,season,gamesPlayed,gamesStarted,hits,era,whip,shutouts,walksPer9Inn,homeRunsPer9
669084,DL Hall,2022,11,1,17,5.93,1.68,0,3.95,0.00
669084,DL Hall,2023,18,0,18,3.26,1.19,0,2.33,0.93
669084,DL Hall,2024,13,7,48,5.02,1.60,0,4.40,1.26
669084,DL Hall,2025,20,3,24,3.49,1.06,0,3.96,0.47
669084,DL Hall,2026,11,1,8,2.31,1.54,0,7.71,0.77
607455,Anthony Banda,2017,8,4,26,5.96,1.40,0,3.51,0.35
607455,Anthony Banda,2018,3,1,12,3.68,1.02,0,1.84,0.61
607455,Anthony Banda,2019,3,0,6,6.75,1.50,0,0.00,0.00
607455,Anthony Banda,2020,4,0,10,10.29,2.14,0,6.43,1.29
607455,Anthony Banda,2021,5,0,14,7.36,2.05,0,1.23,2.45
607455,Anthony Banda,2021,25,0,25,3.42,1.41,0,4.10,1.37
607455,Anthony Banda,2021,30,0,39,4.28,1.54,0,3.48,1.60
607455,Anthony Banda,2022,23,0,34,6.41,1.98,0,2.29,1.37
607455,Anthony Banda,2022,7,1,7,4.26,1.58,0,4.26,1.42
607455,Anthony Banda,2022,2,0,2,40.50,10.50,0,67.50,0.00
607455,Anthony Banda,2022,32,1,43,6.75,2.10,0,4.39,1.35
607455,Anthony Banda,2023,10,0,9,6.43,2.00,0,6.43,1.29
607455,Anthony Banda,2024,48,2,44,3.08,1.25,0,3.26,0.91
607455,Anthony Banda,2025,71,1,45,3.18,1.22,0,4.71,1.11
607455,Anthony Banda,2026,10,0,12,9.31,1.45,0,1.86,0.93
675848,Juan Mejia,2025,55,0,52,3.96,1.26,0,3.67,0.88
675848,Juan Mejia,2026,9,1,15,6.30,1.90,0,3.60,0.90
656686,Corbin Martin,2019,5,5,23,5.59,1.81,0,5.59,3.72
656686,Corbin Martin,2021,5,3,23,10.69,2.31,0,7.88,2.81
656686,Corbin Martin,2022,7,2,25,4.84,1.66,0,4.84,1.21
656686,Corbin Martin,2025,17,0,22,6.00,1.72,0,4.50,2.00
656686,Corbin Martin,2026,3,0,1,0.00,0.67,0,3.00,0.00
571510,Matthew Boyd,2015,2,2,15,14.85,2.40,0,1.35,6.75
571510,Matthew Boyd,2015,11,10,56,6.57,1.48,0,3.38,2.13
571510,Matthew Boyd,2015,13,12,71,7.53,1.59,0,3.14,2.67
571510,Matthew Boyd,2016,20,18,97,4.53,1.29,0,2.68,1.57
571510,Matthew Boyd,2017,26,25,157,5.27,1.56,1,3.53,1.20
571510,Matthew Boyd,2018,31,31,146,4.39,1.16,0,2.69,1.43
571510,Matthew Boyd,2019,32,32,178,4.56,1.23,0,2.43,1.89
571510,Matthew Boyd,2020,12,12,67,6.71,1.48,0,3.28,2.24
571510,Matthew Boyd,2021,15,15,77,3.89,1.27,0,2.63,1.03
571510,Matthew Boyd,2022,10,0,5,1.35,0.98,0,5.40,0.00
571510,Matthew Boyd,2023,15,15,69,5.45,1.32,0,3.17,1.39
571510,Matthew Boyd,2024,8,8,32,2.72,1.13,0,2.95,0.91
571510,Matthew Boyd,2025,31,31,154,3.21,1.09,0,2.10,0.95
571510,Matthew Boyd,2026,3,3,13,5.79,1.14,0,1.93,0.64
607192,Tyler Glasnow,2016,7,4,22,4.24,1.50,0,5.01,0.77
607192,Tyler Glasnow,2017,15,13,81,7.69,2.02,0,6.39,1.89
607192,Tyler Glasnow,2018,34,0,47,4.34,1.45,0,5.46,0.80
607192,Tyler Glasnow,2018,11,11,42,4.20,1.10,0,3.07,1.62
607192,Tyler Glasnow,2018,45,11,89,4.27,1.27,0,4.27,1.21
607192,Tyler Glasnow,2019,12,12,40,1.78,0.89,0,2.08,0.59
607192,Tyler Glasnow,2020,11,11,43,4.08,1.13,0,3.45,1.73
607192,Tyler Glasnow,2021,14,14,55,2.66,0.93,0,2.76,1.02
607192,Tyler Glasnow,2022,2,2,4,1.35,0.90,0,2.70,1.35
607192,Tyler Glasnow,2023,21,21,93,3.53,1.08,0,2.78,0.98
607192,Tyler Glasnow,2024,22,22,92,3.49,0.95,0,2.35,1.01
607192,Tyler Glasnow,2025,18,18,56,3.19,1.10,0,4.28,1.00
607192,Tyler Glasnow,2026,5,5,15,2.89,0.79,0,2.25,0.64
681911,Alex Vesia,2020,5,0,7,18.69,3.23,0,14.54,6.23
681911,Alex Vesia,2021,41,0,17,2.25,0.98,0,4.95,1.35
681911,Alex Vesia,2022,63,0,37,2.15,1.12,0,3.98,0.33
681911,Alex Vesia,2023,56,1,52,4.35,1.39,0,3.08,1.27
681911,Alex Vesia,2024,67,0,33,1.76,0.99,0,4.48,0.95
681911,Alex Vesia,2025,68,0,37,3.02,0.99,0,3.32,1.36
681911,Alex Vesia,2026,10,0,2,0.00,0.58,0,3.12,0.00
663855,Jordan Hicks,2018,73,0,59,3.59,1.34,0,5.21,0.23
663855,Jordan Hicks,2019,29,0,16,3.14,0.94,0,3.45,0.63
663855,Jordan Hicks,2021,10,0,5,5.40,1.50,0,9.00,0.00
663855,Jordan Hicks,2022,35,8,46,4.84,1.32,0,5.14,0.73
663855,Jordan Hicks,2023,40,0,39,3.67,1.51,0,5.18,0.43
663855,Jordan Hicks,2023,25,0,18,2.63,1.08,0,3.00,0.75
663855,Jordan Hicks,2023,65,0,57,3.29,1.36,0,4.39,0.55
663855,Jordan Hicks,2024,29,20,112,4.10,1.45,0,3.86,0.98
663855,Jordan Hicks,2025,13,9,55,6.47,1.54,0,3.70,0.55
663855,Jordan Hicks,2025,21,0,25,8.20,1.98,0,5.79,1.45
