game_id,game_datetime,game_date,game_type,status,away_name,home_name,away_id,home_id,doubleheader,game_num,home_probable_pitcher,away_probable_pitcher,home_pitcher_note,away_pitcher_note,away_score,home_score,current_inning,inning_state,venue_id,venue_name,national_broadcasts,series_status,summary
822827,2026-04-24T23:07:00Z,2026-04-24,R,Pre-Game,Cleveland Guardians,Toronto Blue Jays,114,141,N,1,Max Scherzer,Gavin Williams,,,0,0,1,Top,14,Rogers Centre,[],,2026-04-24 - Cleveland Guardians @ Toronto Blue Jays (Pre-Game)
822909,2026-04-25T00:05:00Z,2026-04-24,R,Pre-Game,Athletics,Texas Rangers,133,140,N,1,Nathan Eovaldi,Luis Severino,,,0,0,1,Top,5325,Globe Life Field,[],,2026-04-24 - Athletics @ Texas Rangers (Pre-Game)
822992,2026-04-24T23:10:00Z,2026-04-24,R,Pre-Game,Minnesota Twins,Tampa Bay Rays,142,139,N,1,Drew Rasmussen,Taj Bradley,,,0,0,1,Top,12,Tropicana Field,[],,2026-04-24 - Minnesota Twins @ Tampa Bay Rays (Pre-Game)
823069,2026-04-25T00:15:00Z,2026-04-24,R,Pre-Game,Seattle Mariners,St. Louis Cardinals,136,138,N,1,Andre Pallante,George Kirby,,,0,0,1,Top,2889,Busch Stadium,[],,2026-04-24 - Seattle Mariners @ St. Louis Cardinals (Pre-Game)
823232,2026-04-25T02:15:00Z,2026-04-24,R,Scheduled,Miami Marlins,San Francisco Giants,146,137,N,1,Adrian Houser,Sandy Alcantara,,,0,0,,,2395,Oracle Park,[],,2026-04-24 - Miami Marlins @ San Francisco Giants (Scheduled)
823638,2026-04-24T23:10:00Z,2026-04-24,R,Pre-Game,Colorado Rockies,New York Mets,115,121,N,1,Freddy Peralta,Michael Lorenzen,,,0,0,1,Top,3289,Citi Field,[],,2026-04-24 - Colorado Rockies @ New York Mets (Pre-Game)
823800,2026-04-24T23:40:00Z,2026-04-24,R,Scheduled,Pittsburgh Pirates,Milwaukee Brewers,134,158,N,1,Brandon Woodruff,Paul Skenes,,,0,0,,,32,American Family Field,[],,2026-04-24 - Pittsburgh Pirates @ Milwaukee Brewers (Scheduled)
823962,2026-04-25T02:15:00Z,2026-04-24,R,Scheduled,Chicago Cubs,Los Angeles Dodgers,112,119,N,1,Emmet Sheehan,Jameson Taillon,,,0,0,,,22,UNIQLO Field at Dodger Stadium,['Apple TV'],,2026-04-24 - Chicago Cubs @ Los Angeles Dodgers (Scheduled)
824124,2026-04-24T23:40:00Z,2026-04-24,R,Pre-Game,Los Angeles Angels,Kansas City Royals,108,118,N,1,Noah Cameron,Yusei Kikuchi,,,0,0,1,Top,7,Kauffman Stadium,[],,2026-04-24 - Los Angeles Angels @ Kansas City Royals (Pre-Game)
824204,2026-04-25T00:10:00Z,2026-04-24,R,Pre-Game,New York Yankees,Houston Astros,147,117,N,1,Lance McCullers Jr.,Will Warren,,,0,0,1,Top,2392,Daikin Park,[],,2026-04-24 - New York Yankees @ Houston Astros (Pre-Game)
824529,2026-04-24T22:40:00Z,2026-04-24,R,Pre-Game,Detroit Tigers,Cincinnati Reds,116,113,N,1,Andrew Abbott,Framber Valdez,,,0,0,1,Top,2602,Great American Ball Park,[],,2026-04-24 - Detroit Tigers @ Cincinnati Reds (Pre-Game)
824611,2026-04-24T23:40:00Z,2026-04-24,R,Pre-Game,Washington Nationals,Chicago White Sox,120,145,N,1,Bryan Hudson,Miles Mikolas,,,0,0,1,Top,4,Rate Field,[],,2026-04-24 - Washington Nationals @ Chicago White Sox (Pre-Game)
824854,2026-04-24T23:05:00Z,2026-04-24,R,Pre-Game,Boston Red Sox,Baltimore Orioles,111,110,N,1,Brandon Young,Brayan Bello,,,0,0,1,Top,2,Oriole Park at Camden Yards,[],,2026-04-24 - Boston Red Sox @ Baltimore Orioles (Pre-Game)
824932,2026-04-24T23:15:00Z,2026-04-24,R,Pre-Game,Philadelphia Phillies,Atlanta Braves,143,144,N,1,Grant Holmes,Andrew Painter,,,0,0,1,Top,4705,Truist Park,['Apple TV'],,2026-04-24 - Philadelphia Phillies @ Atlanta Braves (Pre-Game)
