id,name,season,age,gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,sacFlies
445276,Kenley Jansen,2010,22,25,0,15,25,2,3,0,0,41,15,1,12,1,.130,92,.259,.163,.422,0,5,1.000,.000,1,485,0.67,27.0,1,0,4,4,4,0,2,1.00,109,81,25,0,0,296,.610,1,0,1,0,15,0.60,1.000,17.96,8,2.73,13.67,5.00,4.00,0.67,0.00,6,3,0,1,0
445276,Kenley Jansen,2011,23,51,0,19,45,17,4,0,3,96,26,0,30,2,.159,189,.266,.228,.494,0,7,1.000,.000,0,982,2.85,53.2,2,1,5,6,9,1,17,1.04,218,161,51,0,0,630,.640,2,2,0,0,43,0.42,.667,18.30,13,3.69,16.10,4.36,5.03,2.85,0.50,21,1,0,0,1
445276,Kenley Jansen,2012,24,65,0,32,63,18,7,2,6,99,22,1,33,3,.146,226,.230,.274,.504,0,5,1.000,.000,1,1051,2.35,65.0,5,3,25,32,8,7,17,0.85,252,195,65,0,0,704,.670,3,0,3,0,62,0.51,.625,16.17,40,4.50,13.71,3.05,4.57,2.49,0.83,12,4,0,0,1
445276,Kenley Jansen,2013,25,75,0,47,65,16,6,1,6,111,18,1,48,3,.177,271,.236,.273,.509,2,7,.778,.222,5,1245,1.88,76.2,4,3,28,32,16,4,16,0.86,292,230,75,0,0,852,.680,3,0,2,0,74,0.72,.571,16.24,45,6.17,13.03,2.11,5.63,1.88,0.70,14,2,0,0,0
445276,Kenley Jansen,2014,26,68,0,36,57,20,10,1,5,101,19,2,55,0,.224,246,.277,.333,.610,2,6,.750,.250,1,1061,2.76,65.1,2,3,44,49,0,5,20,1.13,268,196,68,0,0,744,.700,0,0,2,0,82,0.63,.400,16.24,57,5.32,13.91,2.62,7.58,2.76,0.69,13,5,0,1,2
445276,Kenley Jansen,2015,27,54,0,26,51,14,5,0,6,80,8,0,33,2,.176,188,.215,.298,.513,0,5,1.000,.000,0,795,2.41,52.1,2,1,36,38,1,2,14,0.78,200,157,54,0,0,576,.720,2,0,0,0,56,0.51,.667,15.19,50,10.00,13.76,1.38,5.68,2.41,1.03,11,6,0,0,2
445276,Kenley Jansen,2016,28,71,0,36,63,14,8,2,4,104,11,2,35,2,.150,234,.194,.252,.446,1,4,.800,.200,1,1002,1.83,68.2,3,2,47,53,0,6,14,0.67,251,206,71,0,0,724,.720,2,0,1,0,59,0.57,.600,14.59,63,9.45,13.63,1.44,4.59,1.83,0.52,14,1,0,3,1
445276,Kenley Jansen,2017,29,65,0,40,55,11,6,1,5,109,7,0,44,2,.177,248,.206,.270,.476,0,11,1.000,.000,3,1012,1.32,68.1,5,0,41,42,1,1,10,0.75,258,205,65,0,0,745,.740,2,1,2,0,67,0.73,1.000,14.81,57,15.57,14.36,0.92,5.80,1.45,0.66,20,4,1,0,0
445276,Kenley Jansen,2018,30,69,0,57,77,28,8,1,13,82,17,1,54,2,.201,269,.253,.383,.636,0,11,1.000,.000,2,1141,3.01,71.2,1,5,38,42,0,4,24,0.99,289,215,69,0,0,775,.680,2,2,0,1,103,0.74,.167,15.92,59,4.82,10.30,2.13,6.78,3.52,1.63,12,3,0,0,1
445276,Kenley Jansen,2019,31,62,0,44,68,28,12,1,9,80,16,0,51,4,.213,240,.270,.383,.653,0,13,1.000,.000,3,1068,3.71,63.0,5,3,33,41,0,8,26,1.06,263,189,62,0,0,741,.690,4,3,2,0,92,0.65,.625,16.95,51,5.00,11.43,2.29,7.29,4.00,1.29,15,5,0,0,3
445276,Kenley Jansen,2020,32,27,0,11,27,11,3,0,2,33,9,0,19,3,.211,90,.304,.311,.615,0,2,1.000,.000,0,446,3.33,24.1,3,1,11,13,0,2,9,1.15,102,73,27,0,0,301,.670,3,0,0,0,28,0.41,.750,18.33,24,3.67,12.21,3.33,7.03,4.07,0.74,7,0,0,0,0
445276,Kenley Jansen,2021,33,69,0,49,68,21,7,0,4,86,36,4,36,2,.153,236,.268,.233,.501,0,10,1.000,.000,4,1071,2.22,69.0,4,4,38,43,0,5,17,1.04,278,207,69,0,0,713,.670,2,2,4,0,55,0.72,.500,15.52,52,2.39,11.22,4.70,4.70,2.74,0.52,16,2,1,1,2
445276,Kenley Jansen,2022,34,65,0,34,72,25,6,3,8,85,22,3,45,2,.192,234,.265,.346,.611,2,10,.833,.167,0,1006,3.38,64.0,5,2,41,48,0,7,24,1.05,260,192,65,0,0,694,.690,2,1,1,0,81,0.47,.714,15.72,54,3.86,11.95,3.09,6.33,3.52,1.13,4,3,0,0,2
445276,Kenley Jansen,2023,35,51,0,20,57,21,9,0,5,52,17,1,40,2,.237,169,.314,.379,.693,4,13,.765,.235,0,721,3.63,44.2,3,6,29,33,0,4,18,1.28,188,134,51,0,0,490,.680,2,2,1,0,64,0.35,.333,16.14,42,3.06,10.48,3.43,8.06,4.23,1.01,6,1,0,0,0
445276,Kenley Jansen,2024,36,54,0,33,64,20,9,0,4,62,20,2,38,1,.196,194,.271,.304,.575,3,10,.769,.231,1,801,3.29,54.2,4,2,27,31,0,4,20,1.06,218,164,54,0,0,538,.670,1,2,2,0,59,0.52,.667,14.65,38,3.10,10.21,3.29,6.26,3.29,0.66,6,0,0,0,3
445276,Kenley Jansen,2025,37,62,0,37,83,18,5,1,8,57,19,2,37,1,.175,212,.245,.321,.566,0,13,1.000,.000,3,869,2.59,59.0,5,4,29,30,0,1,17,0.95,234,177,62,0,0,605,.700,1,3,0,0,68,0.45,.556,14.73,47,3.00,8.69,2.90,5.64,2.75,1.22,7,2,0,1,1
445276,Kenley Jansen,2026,38,10,0,4,9,5,0,0,3,9,4,0,8,0,.267,30,.353,.567,.920,0,2,1.000,.000,0,149,6.14,7.1,0,2,6,9,0,3,5,1.64,34,22,10,0,0,97,.650,0,1,0,0,17,0.44,.000,20.32,10,2.25,11.05,4.91,9.82,6.14,3.68,2,2,0,0,0
518886,Craig Kimbrel,2010,22,21,0,5,18,2,2,0,0,40,16,1,9,0,.125,72,.284,.153,.437,0,3,1.000,.000,1,384,0.44,20.2,4,0,1,1,2,0,1,1.21,88,62,21,0,0,224,.580,0,0,4,0,11,0.28,1.000,18.58,7,2.50,17.42,6.97,3.92,0.87,0.00,3,1,0,0,0
518886,Craig Kimbrel,2011,23,79,0,42,56,19,4,1,3,127,32,1,48,1,.178,270,.266,.233,.499,3,1,.250,.750,4,1314,2.10,77.0,4,3,46,54,0,8,18,1.04,306,231,79,0,0,843,.640,1,0,4,1,63,0.75,.571,17.06,64,3.97,14.84,3.74,5.61,2.22,0.35,4,0,0,1,2
518886,Craig Kimbrel,2012,24,63,0,38,34,7,1,0,3,116,14,0,27,2,.126,215,.186,.172,.358,1,8,.889,.111,3,936,1.01,62.2,3,1,42,45,0,3,7,0.65,231,188,63,0,0,661,.710,2,0,5,0,37,1.12,.750,14.94,56,8.29,16.66,2.01,3.88,1.01,0.43,4,0,0,0,0
518886,Craig Kimbrel,2013,25,68,0,51,47,10,7,0,4,98,20,2,39,3,.166,235,.240,.247,.487,2,3,.600,.400,3,1039,1.21,67.0,4,3,50,54,0,4,9,0.88,258,201,68,0,0,668,.640,3,0,3,0,58,1.09,.571,15.51,60,4.90,13.16,2.69,5.24,1.34,0.54,3,1,0,0,0
518886,Craig Kimbrel,2014,26,63,0,41,49,13,4,0,2,95,26,0,30,2,.142,212,.242,.189,.431,1,5,.833,.167,3,1047,1.61,61.2,0,3,47,51,0,4,11,0.91,244,185,63,0,0,679,.650,2,0,6,0,40,0.84,.000,16.98,54,3.65,13.86,3.79,4.38,1.90,0.29,14,2,1,3,0
518886,Craig Kimbrel,2015,27,61,0,47,42,19,6,1,6,87,22,1,40,1,.185,216,.264,.306,.570,1,8,.889,.111,4,1008,2.58,59.1,4,2,39,43,0,4,17,1.04,239,178,61,0,0,636,.630,1,0,4,0,66,1.12,.667,16.99,53,3.95,13.20,3.34,6.07,2.88,0.91,5,1,0,0,0
518886,Craig Kimbrel,2016,28,57,0,25,50,22,7,0,4,83,30,0,28,4,.152,184,.283,.255,.538,0,2,1.000,.000,3,935,3.40,53.0,2,6,31,33,1,2,20,1.09,220,159,57,0,0,570,.610,4,0,6,0,47,0.50,.250,17.64,47,2.77,14.09,5.09,4.75,3.74,0.68,15,4,0,1,1
518886,Craig Kimbrel,2017,29,67,0,31,46,11,6,0,6,126,14,0,33,4,.140,235,.202,.243,.445,6,4,.400,.600,1,1148,1.43,69.0,5,0,35,39,1,4,11,0.68,254,207,67,0,0,784,.680,4,0,5,1,57,0.67,1.000,16.64,51,9.00,16.43,1.83,4.30,1.43,0.78,13,1,0,1,0
518886,Craig Kimbrel,2018,30,63,0,31,56,19,9,2,7,96,31,0,31,2,.146,213,.260,.305,.565,0,4,1.000,.000,2,1111,2.74,62.1,5,1,42,47,0,5,19,0.99,247,187,63,0,0,691,.620,2,0,7,0,65,0.55,.833,17.82,57,3.10,13.86,4.48,4.48,2.74,1.01,16,5,0,1,0
518886,Craig Kimbrel,2019,31,23,0,12,19,15,5,0,9,30,12,0,21,2,.259,81,.365,.654,1.019,2,2,.500,.500,0,392,6.53,20.2,0,4,13,16,0,3,15,1.60,96,62,23,0,0,241,.610,2,0,0,0,53,0.63,.000,18.97,17,2.50,13.06,5.23,9.15,6.53,3.92,0,0,0,0,1
518886,Craig Kimbrel,2020,32,18,0,7,10,9,1,1,2,28,12,1,10,2,.182,55,.348,.345,.693,0,2,1.000,.000,0,300,5.28,15.1,0,1,2,3,3,1,9,1.43,69,46,18,0,0,179,.600,2,0,4,1,19,0.70,.000,19.57,11,2.33,16.43,7.04,5.87,5.28,1.17,1,0,0,0,0
518886,Craig Kimbrel,2021,33,39,0,17,30,6,2,0,1,64,13,0,13,0,.106,123,.190,.146,.336,0,1,1.000,.000,1,600,0.49,36.2,2,3,23,25,0,2,2,0.71,137,110,39,0,0,387,.650,0,1,3,0,18,0.57,.400,16.36,35,4.92,15.71,3.19,3.19,1.47,0.25,14,0,0,0,1
518886,Craig Kimbrel,2021,33,24,0,9,22,13,3,1,5,36,10,1,18,3,.217,83,.316,.458,.774,1,5,.833,.167,1,408,5.09,23.0,2,2,1,4,6,3,13,1.22,98,69,24,0,0,248,.610,3,0,5,0,38,0.41,.500,17.74,8,3.60,14.09,3.91,7.04,5.09,1.96,1,1,0,0,2
