game_id,game_datetime,game_date,game_type,status,away_name,home_name,away_id,home_id,doubleheader,game_num,home_probable_pitcher,away_probable_pitcher,home_pitcher_note,away_pitcher_note,away_score,home_score,current_inning,inning_state,venue_id,venue_name,national_broadcasts,series_status,summary,home_probable_pitcher_hand,away_probable_pitcher_hand
823391,2026-04-30T16:35:00Z,2026-04-30,R,In Progress,St. Louis Cardinals,Pittsburgh Pirates,138,134,N,1,Paul Skenes,Hunter Dobbins,,,3,0,1.0,Top,31,PNC Park,[],STL leads 3-0,2026-04-30 - St. Louis Cardinals (3) @ Pittsburgh Pirates (0) (Top of the 1st),,
823471,2026-04-30T21:35:00Z,2026-04-30,R,Scheduled,San Francisco Giants,Philadelphia Phillies,137,143,S,2,,,,,0,0,,,2681,Citizens Bank Park,['MLB Network'],PHI leads 1-0,2026-04-30 - San Francisco Giants @ Philadelphia Phillies (Scheduled),,
823472,2026-04-30T16:35:00Z,2026-04-30,R,In Progress,San Francisco Giants,Philadelphia Phillies,137,143,S,1,Cristopher Sánchez,Logan Webb,,,2,0,1.0,Bottom,2681,Citizens Bank Park,[],PHI leads 1-0,2026-04-30 - San Francisco Giants (2) @ Philadelphia Phillies (0) (Bottom of the 1st),,
823634,2026-04-30T17:10:00Z,2026-04-30,R,Warmup,Washington Nationals,New York Mets,120,121,N,1,Freddy Peralta,Miles Mikolas,,,0,0,1.0,Top,3289,Citi Field,[],Series tied 1-1,2026-04-30 - Washington Nationals @ New York Mets (Warmup),,
823714,2026-04-30T23:40:00Z,2026-04-30,R,Scheduled,Toronto Blue Jays,Minnesota Twins,141,142,N,1,Bailey Ober,Kevin Gausman,,,0,0,,,3312,Target Field,[],,2026-04-30 - Toronto Blue Jays @ Minnesota Twins (Scheduled),,
823795,2026-04-30T17:40:00Z,2026-04-30,R,Pre-Game,Arizona Diamondbacks,Milwaukee Brewers,109,158,N,1,Brandon Woodruff,Michael Soroka,,,0,0,1.0,Top,32,American Family Field,[],Series tied 1-1,2026-04-30 - Arizona Diamondbacks @ Milwaukee Brewers (Pre-Game),,
824524,2026-04-30T16:40:00Z,2026-04-30,R,In Progress,Colorado Rockies,Cincinnati Reds,115,113,N,1,Andrew Abbott,Michael Lorenzen,,,2,0,1.0,Middle,2602,Great American Ball Park,[],Series tied 1-1,2026-04-30 - Colorado Rockies (2) @ Cincinnati Reds (0) (Middle of the 1st),,
824848,2026-04-30T16:35:00Z,2026-04-30,R,In Progress,Houston Astros,Baltimore Orioles,117,110,Y,1,Chris Bassitt,Peter Lambert,,,0,0,2.0,Top,2,Oriole Park at Camden Yards,[],BAL leads 1-0,2026-04-30 - Houston Astros (0) @ Baltimore Orioles (0) (Top of the 2nd),,
824850,2026-04-30T16:40:00Z,2026-04-30,R,Scheduled,Houston Astros,Baltimore Orioles,117,110,Y,2,Brandon Young,Lance McCullers Jr.,,,0,0,,,2,Oriole Park at Camden Yards,[],BAL leads 1-0,2026-04-30 - Houston Astros @ Baltimore Orioles (Scheduled),,
824929,2026-04-30T16:15:00Z,2026-04-30,R,In Progress,Detroit Tigers,Atlanta Braves,116,144,N,1,Bryce Elder,Framber Valdez,,,0,1,2.0,Bottom,4705,Truist Park,[],ATL leads 2-0,2026-04-30 - Detroit Tigers (0) @ Atlanta Braves (1) (Bottom of the 2nd),,
825016,2026-04-30T19:05:00Z,2026-04-30,R,Pre-Game,Kansas City Royals,Athletics,118,133,N,1,Jeffrey Springs,Noah Cameron,,,0,0,1.0,Top,2529,Sutter Health Park,[],Series tied 1-1,2026-04-30 - Kansas City Royals @ Athletics (Pre-Game),,
