player_id,player_name,position,lineup_position,batter_bat_side,opponent_pitcher_name,opponent_pitcher_hand,platoon_advantage,away_team,home_team,game_datetime,p_hit
676475,Alec Burleson,1B,3,,George Kirby,,0,Seattle Mariners,St. Louis Cardinals,2026-04-25T00:15:00Z,1.0
682657,Angel Martínez,CF,7,,Max Scherzer,,0,Cleveland Guardians,Toronto Blue Jays,2026-04-24T23:07:00Z,1.0
677951,Bobby Witt,SS,2,,Yusei Kikuchi,,0,Los Angeles Angels,Kansas City Royals,2026-04-24T23:40:00Z,1.0
669016,Brandon Marsh,CF,5,,Grant Holmes,,0,Philadelphia Phillies,Atlanta Braves,2026-04-24T23:15:00Z,1.0
607043,Brandon Nimmo,LF,1,,Luis Severino,,0,Athletics,Texas Rangers,2026-04-25T00:05:00Z,1.0
682928,CJ Abrams,SS,4,,Bryan Hudson,,0,Washington Nationals,Chicago White Sox,2026-04-24T23:40:00Z,1.0
621043,Carlos Correa,SS,1,,Will Warren,,0,New York Yankees,Houston Astros,2026-04-25T00:10:00Z,1.0
695600,Carter Jensen,C,6,,Yusei Kikuchi,,0,Los Angeles Angels,Kansas City Royals,2026-04-24T23:40:00Z,1.0
802415,Chandler Simpson,LF,1,,Taj Bradley,,0,Minnesota Twins,Tampa Bay Rays,2026-04-24T23:10:00Z,1.0
682177,Daniel Schneemann,2B,1,,Max Scherzer,,0,Cleveland Guardians,Toronto Blue Jays,2026-04-24T23:07:00Z,1.0
